;Kategorie;Funktionsname;Beschreibung;Quelle_Referenz;Nutzen_Sicherheitsdienst;Status_Access_FE;Prioritaet;Aufwand_Implementierung
69;Recruiting;Bewerber-Portal;Online-Bewerbungsformular mit automatischem Import;Personio, softgarden;Schnellere Bewerbungsprozesse, weniger manuelle Arbeit;Fehlt;Mittel;Mittel
70;Recruiting;Onboarding-Workflow;Digitaler Onboarding-Prozess fuer neue MA;Personio, HRworks;Strukturierter Start, nichts vergessen, guter erster Eindruck;Fehlt;Mittel;Mittel
71;Recruiting;Digitale Personalakte;Alle MA-Dokumente zentral digital gespeichert;Standard HR-Software;Schneller Zugriff, weniger Papier, DSGVO-konform;Teilweise;Hoch;Mittel
72;Finanzen;Deckungsbeitragsrechnung;Automatische Berechnung des DB pro Auftrag, Kunde, Objekt;Controlling-Standard;Rentabilitaetsanalyse, Preisgestaltung;Fehlt;Hoch;Mittel
73;Finanzen;Budget-Planung;Planung und Tracking von Budgets pro Kostenstelle;SAP, DATEV;Kostenkontrolle, Abweichungsanalyse;Fehlt;Mittel;Mittel
74;Finanzen;Prognose-Funktion;Vorhersage von Personalkosten basierend auf Planung;BI-Tools, Excel;Liquiditaetsplanung, fruehzeitige Warnung;Fehlt;Mittel;Mittel
75;Finanzen;Mahnwesen;Automatische Mahnungen bei ueberfaelligen Rechnungen;Lexware, sevDesk;Bessere Liquiditaet, weniger manuelle Arbeit;Fehlt;Mittel;Klein
76;Kunden;Kunden-Portal;Self-Service Portal fuer Kunden mit Einsatz-Uebersicht;secplanet, SESAM;Professioneller Service, weniger Rueckfragen;Fehlt;Mittel;Gross
77;Kunden;Online-Buchungsportal;Kunden koennen Einsaetze selbst buchen;Moderne Dienstleister-Portale;Weniger Telefonate, schnellere Buchung, 24/7 verfuegbar;Fehlt;Niedrig;Gross
78;Kunden;Zufriedenheits-Umfragen;Automatische Umfragen nach Einsaetzen;SurveyMonkey, Typeform;Qualitaetsmessung, Verbesserungspotenzial erkennen;Fehlt;Niedrig;Mittel
79;Kunden;Vertragsverwaltung;Digitale Verwaltung von Kundenvertraegen mit Laufzeiten;Standard CRM-Funktion;Uebersicht Kuendigungsfristen, automatische Verlaengerung;Teilweise;Mittel;Mittel
80;Kunden;CRM-Funktionen;Kontakthistorie, Notizen, Aktivitaeten pro Kunde;Salesforce, HubSpot;Bessere Kundenbetreuung, keine verlorenen Informationen;Teilweise;Mittel;Mittel
